"";"field_id";"name";"semester";"ects";"test_type";"lecturer";"description"
"0";"0";"Geologia";"1";"3";"Zaliczenie";"Katarzyna Cyran";"Zajęcia prowadzone w trybie mieszanym. Deformacje ciągłe i nieciągłe. Przekroje geologiczne i ich interpretacja na podstawie danych z wierceń. Mapy geologiczne, przekroje geologiczne na podstawie map. Elementy zalegania warstw i ich pomiary. Klasyfikacja i rodzaje gruntów. Obecność na ćwiczeniach audytoryjnych obowiązkowa. Zajęcia prowadzone w trybie mieszanym Pochodzenie i budowa Ziemi. Czas geologiczny i wędrówka kontynentów. Tektonika płyt litosfery. Trzęsienia Ziemi: przyczyny, przebieg, skutki. Plutonizm i wulkanizm przyczyny i mechanizm. Metamorfizm. Sedymentacja i środowiska sedymentacji. Diageneza. Wody płynące i podziemne. Działalność lodowców. Wietrzenie i erozja. Powierzchniowe ruchy masowe, denudacja. Budowa geologiczna Polski. Znaczenie gospodarcze skał. Zajęcia prowadzone w trybie stacjonarnym, mogą być prowadzone w trybie mieszanym Minerały skałotórcze. Struktury i tekstury skał magmowych, metamorficznych i osadowych. Opis i rozpoznawanie podstawowych skał. Obecność na zajęciach obowiązkowa."
"1";"0";"Geometria wykreślna";"1";"2";"Zaliczenie";"Krzysztof Pałac";"Ćwiczenia polegają na samodzielnym wykonywaniu zadań konstrukcyjnych z zachowaniem zasad graficznych określonych przez PN. Tematy zadań ściśle związane są z wykładem. Aksjomatyka, twierdzenia stereometrii, główne metody odwzorowań elementów przestrzennych na płaszczyźnie (rzut środkowy, rzut aksonometryczny, rzuty Monge’a, rzut cechowany). Rzutowanie aksonometryczne. Zasada rzutowania. Układ odniesienia i własności rzutu aksonometrycznego. Wybrane rodzaje aksonometrii stosowane jako poglądowa metoda przedstawiania obiektów inżynierskich. Rzuty Monge’a Odwzorowanie podstawowych elementów przestrzeni. Incydencja, wzajemne położenia prostych i płaszczyzn (równoległość, elementy wspólne, prostopadłość). Rzutnia boczna. Zastosowania w graficznym zapisie obiektów technicznych. Metoda transformacji. Zagadnienia miarowe. Wielościany, bryły i powierzchnie, metody konstrukcji w aspekcie praktycznych zastosowań przy projektowaniu obiektów budowlanych. Geometryczne zasady kształtowania przestrzennej formy przykryć dachowych - projektowanie dachów wielopołaciowych. Rzut środkowy (perspektywa) Aparat projekcyjny i niezmienniki rzutowania środkowego. Perspektywa czołowa i pionowa. Rzut cechowany . Odwzorowanie podstawowych elementów przestrzeni oraz ich wzajemnych relacji. Kłady. Wybrane zagadnienia dotyczące powierzchni topograficznej. Punkty i linie charakterystyczne w terenie. Działania na powierzchni topograficznej. Zastosowania do robót ziemnych (projektowanie dróg, boisk, przekroje profile itp.)"
"2";"0";"Grafika inżynierska i rysunek techniczny";"1";"3";"Zaliczenie";"Sebastian Olesiak";"Rysunek techniczny z zastosowaniem tradycyjnych technik kreślenia. Tematy zadań związane z wykładem i Polskimi Normami. W ramach zajęć projektowych należy wykonać 6 projektów rysunkowych (format A-3, rysunek odręczny i wydruk z AutoCADa) 1. Pismo techniczne proste i pochyłe (litery wielkie, małe i cyfry), wysokość 4 mm i 14 mm 2. Rzut prostokątny bryły (6 rzutni) 3. Rzut aksonometryczny bryły (izometria i dimetria) i rzut prostokatny bryły (6 rzutni) 4. Przekrój (rzut parteru domu jednorodzinnego) 5. Wymiarowanie (rzut parteru domu jednorodzinnego) 6. Rysunek konstrukcyjny (węzeł kratownicy) 1. Informacje podstawowe o rysunku technicznym 2. Elementy geometrii wykreślnej w rysunku technicznym 3. Rysunek techniczny budowlany 4. Rysunek konstrukcyjny (konstrukcje betonowe, metalowe i drewniane) 5. Zastosowanie zasad rysunku budowlanego w wykonywaniu dokumentacji technicznej Rysunek techniczny z zastosowaniem programów komputerowych. Zajęcia w pracowni komputerowej – AutoCad. Tematy zadań związane z wykładem i Polskimi Normami. AutoCad 2D: 1. Wprowadzenie do środowiska AutoCADa - praca na warstwach i menedżer właściwości 2. Podstawowe obiekty 3. Rysowanie precyzyjne 4. Modyfikacje obiektów 5. Wymiarowanie i napisy 6. Kreskowanie 7. Wydruk 8. Bloki"
"3";"0";"Geodezja";"1";"3";"Zaliczenie";"Michał Strach";"1. Podstawowe pojęcia geodezyjne. Organizacja służby geodezyjnej i kartograficznej w Polsce. Dokumentacja geodezyjna. Ośrodki Dokumentacji Geodezyjnej i Kartograficznej. 2. Kształt i wymiary Ziemi: geoida, elipsoida, kula, płaszczyzna. Odwzorowanie przestrzeni na płaszczyznę. 3. Rachunek współrzędnych. 4. Opracowania kartograficzne. Mapa – definicja i cechy mapy (podział i nomenklatura, skale i treść, znaki kartograficzne i kodowe), mapa topograficzna, mapa zasadnicza, mapy tematyczne, mapa numeryczna. 5. Odwzorowania kartograficzne. Układy współrzędnych płaskich prostokątnych stosowane na mapach. 6. Systemy wysokości i układy wysokości. 7. Osnowy geodezyjne: sytuacyjne i wysokościowe (projektowanie, stabilizacja, pomiary elementów liniowych i kątowych, obliczenia współrzędnych punktów). 8. Pomiary wielkości geometrycznych: pomiary długości, pomiary kątów poziomych i pionowych. Pomiary niwelacyjne. Technologia GNSS. Skaning laserowy. 9. Metody pomiaru szczegółów terenowych. 10. Geodezyjna obsługa inwestycji. Mapy do celów projektowych. 11. Osnowa realizacyjna. Tyczenie obiektów: metody, dokumentacja. 12. Inwentaryzacja bieżąca i powykonawcza inwestycji. 13. Geodezyjne wyznaczanie przemieszczeń i odkształceń obiektów i powierzchni terenu. 14. Teledetekcja. Termografia. Mapy opracowywane metodą fotogrametryczną. Zastosowania fotogrametrii. 15. Numeryczny model terenu. Systemy GIS. 16. System ewidencji gruntów i budynków. Prace geodezyjne związane z obrotem nieruchomościami. Podział nieruchomości, rozgraniczenie nieruchomości. System ksiąg wieczystych. 1. Zasady kontroli rachunków. Zaokrąglanie liczb. Funkcje małych kątów. Przeliczanie miar kątowych. 2. Zasady wykonywania pomiarów geodezyjnych w terenie; osnowy; szkice terenowe – zasady rysunku geodezyjnego. 3. Bezpośredni pomiar odległości, tyczenie prostych, szkice polowe. 4. Zasady budowy i obsługi niwelatorów klasycznych i cyfrowych (warunki geometryczne). 5. Pomiary wysokościowe i ich opracowanie. 6. Centrowanie i poziomowanie teodolitu, zasady obsługi i przygotowanie instrumentu do pomiaru (warunki geometryczne). 7. Pomiar kątów z zastosowaniem metod geodezyjnych. 8. Pomiar pionowości krawędzi budynków, elementów konstrukcyjnych. 9. Centrowanie i poziomowanie tachymetru, zasady obsługi i przygotowanie instrumentu do pomiaru (warunki geometryczne). 10. Tachimetria elektroniczna. 11. Pomiar punktów nieodstępnych. 12. Opracowania i odwzorowania kartograficzne. 13. Obliczanie współrzędnych; ocena dokładności wyników pomiarów i obliczeń. 14. Obliczanie pól powierzchni. 15. Obliczanie objętości mas i materiałów sypkich lub zastosowanie geoinformatyki w antropogenicznych formach ukształtowania powierzchni ziemi, budowlach ziemnych. 16. Planowanie i projektowanie obserwacji na potrzeby sesji i kampanii pomiarowych GNSS. 17. Wyznaczanie przemieszczeń budowli. 18. Kolokwium zaliczeniowe. 19. Zaliczenie."
"4";"0";"Fizyka I";"1";"3";"Zaliczenie";"Michał Ślęzak";"Wykład: Głównym celem wykładów jest jakościowe przedstawienie istoty zjawisk fizycznych, metod ich badania i przykładów wykorzystania. Bardzo ważną rolę w wykładach spełniają pokazy. 1. Wprowadzenie, rachunek wektorowy, wielkości i jednostki (2 godz.). 2. Podstawy mechaniki klasycznej: kinematyka w ujęciu wektorowym, zasady dynamiki Newtona, siły bezwładności, praca, energia kinetyczna, energia potencjalna, ruch obrotowy, kinematyka ruchu obrotowego, dynamika i statyka bryły sztywnej, zasady zachowania, grawitacja, ziemskie pole siły ciężkości (12 godz.). 3. Szczególna teoria względności (1 godz.). Na ćwiczeniach są rozwiązywane zadania będące przykładami zagadnień omawianych na wykładach. Tematy zadań studenci otrzymują z co najmniej tygodniowym wyprzedzeniem. Prowadzone są częste sprawdziany. Celem ćwiczeń jest zrozumienie podstawowych praw mechaniki klasycznej poprzez wyrobienie umiejętności ich prawidłowego zastosowania do rozwiązywania problemów fizycznych i wypracowanie pewnej sprawności rachunkowej. 1. Metodyka rozwiązywania zadań i podstawy rachunku wektorowego (4 godz.). 2. Podstawy mechaniki klasycznej: kinematyka w ujęciu wektorowym, zasady dynamiki Newtona, siły bezwładności, praca, energia kinetyczna, energia potencjalna, ruch obrotowy, kinematyka ruchu obrotowego, zasady zachowania, grawitacja, ziemskie pole siły ciężkości (11 godz.)."
"5";"0";"Chemia (budowlana)";"1";"6";"Zaliczenie";"Wiesława Nocuń-Wczelik,                     Agnieszka Królicka";"Obliczenia stechiometryczne na przykładzie reakcji rozkładu, syntezy związków i hydratacji dla procesów zachodzących w materiałach budowlanych oraz reakcji w relacji materiał - otoczenie. Obliczanie składu procentowego i wagowego w układach wieloskładnikowych. Analiza roztworów; kontrola stężenia, odczyn, pH, pOH, iloczyn jonowy wody, dysocjacja - stała i stopień dysocjacji; obliczenia. pH wyciągów wodnych z cementu i stwardniałych zaczynów cementowych. Metale ciężkie i inne składniki szkodliwe w odciekach. Oznaczanie podstawowych cech użytkowych spoiw wapiennych. Oznaczanie podstawowych cech użytkowych gipsu. Prawa gazowe, obliczenia na podstawie praw gazowych przykładzie reakcji rozkładu, syntezy związków i hydratacji dla procesach zachodzących w technologii i chemii materiałów budowlanych (ocena emisji). Oznaczanie objętości wydzielonego wodoru dla aktywnych mieszanek spoiwowych. Sprawdziany, zaliczenie zajęć. Klasyfikacja materiałów budowlanych, skład chemiczny i struktura (budowa na poziomie cząsteczkowym, wiązania) a właściwości materiałów. Zjawiska fizykochemiczne w gazach i cieczach, woda w technologii materiałów budowlanych. Ciała krystaliczne, podstawy chemii ciała stałego, reaktywność materiałów, zjawiska dyfuzyjne, spiekanie. Podstawy kinetyki chemicznej i termodynamiki w odniesieniu do materiałów budowlanych. Chemia spoiw wapiennych i gipsowych. Spoiwa hydrauliczne – cementy portlandzkie, inne cementy specjalne. Podstawy reologii, zjawiska powierzchniowe, procesy hydratacji. Kształtowanie właściwości ceramicznych materiałów budowlanych w procesach wysokotemperaturowych. Chemia kompozytów betonowych (kohezja, adhezja a właściwości). Korozja chemiczna i elektrochemiczna. Organiczne materiały budowlane (tworzywa sztuczne). Stan szklisty, produkty uboczne energetyki i metalurgii w budownictwie."
"6";"0";"Matematyka 1";"1";"9";"Egzamin";"Katarzyna Czyżewska";"Funkcje jednej zmiennej,własności, funkcja odwrotna, złożenie funkcji. Ciągi rzeczywiste i ich własności, granica ciągu. Granica i ciągłość funkcji. Pochodna funkcji jednej zmiennej. Twierdzenie o wartości średniej, wzór Taylora, asymptoty, badanie przebiegu zmienności funkcji. Całka nieoznaczona, metody całkowania. Całka oznaczona Riemanna, zastosowanie geometryczne i fizyczne całki oznaczonej. Całki niewłaściwe. Szeregi liczbowe, szeregi potęgowe. Rozwiązywanie zadań zgodnie z programem wykładów."
"7";"0";"Technologie informacyjne";"1";"2";"Zaliczenie";"Dorota Pawluś";"Arkusze kalkulacyjne - Excel: Zaawansowane obliczenia w arkuszu kalkulacyjnym. Tworzenie i formatowanie wykresów. Analiza danych. Tabele Elementy programowania w języku VBA - opcjonalnie, w zależności od stopnia zaawansowania grupy zajęciowej. Edytory tekstu -Word: Edycja i formatowanie tekstu, definiowanie układu strony i wydruku. Wykorzystanie edytora równań do zapisu formuł matematycznych. Formatowanie dużych dokumentów - style nagłówkowe, tworzenie własnych stylów, wstawianie podpisów tabel, rysunków, tworzenie spisów treści, rysunków, tabel, przypisy."
"8";"0";"Mechanika teoretyczna";"2";"4";"Zaliczenie";"Jerzy Cieślik";"Na zajęciach rozwiązywane są zadania w zakresie zagadnień poruszanych na wykładzie Kinematyka punktu materialnego, sposoby opisu ruchu punktu, prędkość, przyspieszenie, ruch punktu po okręgu. Kinematyka ciała sztywnego, sposoby wyznaczania prędkości i przyspieszeń punktów ciała sztywnego w ruchu dowolnym, ruch postępowy, kulisty, obrotowy, płaski ciała sztywnego. Statyka, teoria równoważności układów sił, moment siły względem punktu, prostej, twierdzenie o zmianie bieguna, równoważność układów sił, redukcja układu sił. Zasada prac wirtualnych, warunki równowagi sił. Podpory, układy konstrukcyjne statycznie wyznaczalne, niewyznaczalne, chwiejne."
"9";"0";"Ochrona własności intelektualnej";"2";"1";"Zaliczenie";"Aleksandra Błoniarz";"1. Pojęcia i określenia podstawowe: własność intelektualna, własność przemysłowa, patenty, wynalazki , ochrona patentowa, wzory: przemysłowe, użytkowe,, znaki towarowe, oznaczenia geograficzne, topografia układów scalonych, prawa ochronne, prawa z rejestracji . Prawo autorskie i ochrona praw autorskich. Prawa pokrewne. 2. Pojęcie własności intelektualnej. Kategorie własności intelektualnej. 3. Własność przemysłowa w oparciu o ustawę „Prawo Własności Przemysłowej” Sposoby ochrony dóbr własności przemysłowej. 4. Patenty i wynalazki. Sposób ochrony wynalazku. Historia patentu i podstawy polityki patentowej. Cel ochrony patentowej. 5. Treść i zakres patentu. Procedura uzyskiwania patentu. Informacja patentowa w aspekcie międzynarodowym. Umowy o przeniesienie praw. 6. Wzory użytkowe i system ochrony wzorów użytkowych. 7. Wzory przemysłowe. Sposoby ochrony wzorów przemysłowych. Uprawnienia twórcy wzoru przemysłowego. Nabycie praw z rejestracji. 8. Znaki towarowe i ich ochrona. Treść i zakres prawa ochronnego na znak towarowy. Umowy i przeniesienie praw. Ustanie praw ochronnych. Wspólnotowy znak towarowy. 9. Oznaczenia geograficzne. Przedmiot ochrony i treść praw z rejestracji. Kolizja oznaczenia geograficznego ze znakiem towarowym. 10. Topografia układów scalonych. Przedmiot ochrony. Treść i charakter praw z rejestracji 11. Prawa autorskie i prawa pokrewne w oparciu o ustawę o „Prawie Autorskim i Prawach pokrewnych”. Przedmiot i podmiot prawa.. 12. Ochrona praw autorskich osobistych i majątkowych. Prawo autorskie w Unii Europejskiej. 13. Prawo autorskie w Internecie. Piractwo komputerowe i prawo autorskie. Odpowiedzialność karna za naruszenie praw autorskich. 14. Okolice prawa autorskiego. Prawo do ochrony: wizerunku, korespondencji. Prawo autorskie a ochrona wypowiedzi."
